HeroName,HeroStrength,HeroAgility,HeroWeaponName,HeroWeaponBonus,EnemyName,EnemyStrength,EnemyAgility,EnemyNumber,Outcome
Frodo,3,5,Sting,4,Troll,10,2,5,0
Gimli,8,5,Sting,5,Orc,5,4,3,1
Frodo,3,5,Sting,4,Uruk-hai,7,6,4,0
Aragorn,9,7,Sting,4,Troll,10,2,2,1
Aragorn,9,7,Sting,4,Uruk-hai,7,6,9,0
Boromir,8,5,Sting,4,Troll,10,2,4,1
Boromir,8,5,Anduril,6,Troll,10,2,4,1
Gimli,8,5,DwarvenAxe,7,Orc,5,4,19,0
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,6,1
Boromir,8,5,Sting,4,Uruk-hai,7,6,4,1
Aragorn,9,7,DwarvenAxe,4,Uruk-hai,7,6,18,0
Aragorn,9,7,Anduril,9,Troll,10,2,2,1
Aragorn,9,7,Sword,7,Orc,5,4,15,0
Aragorn,9,7,Sting,4,Uruk-hai,7,6,5,1
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,2,1
Frodo,3,5,Sword,-1,Uruk-hai,7,6,3,0
Frodo,3,5,ElvenBow,-7,Troll,10,2,1,0
Gimli,8,5,Anduril,4,Orc,5,4,3,1
Frodo,3,5,Sword,-1,Uruk-hai,7,6,1,1
Boromir,8,5,Sting,4,Troll,10,2,4,1
Aragorn,9,7,Anduril,9,Orc,5,4,20,0
Gimli,8,5,Sword,4,Troll,10,2,4,1
Frodo,3,5,Sting,4,Troll,10,2,1,0
Aragorn,9,7,Sword,7,Orc,5,4,12,1
Boromir,8,5,DwarvenAxe,4,Uruk-hai,7,6,1,1
Legolas,7,10,Sting,5,Troll,10,2,3,1
Boromir,8,5,Sword,7,Uruk-hai,7,6,11,0
Gimli,8,5,Anduril,4,Orc,5,4,17,0
Aragorn,9,7,DwarvenAxe,4,Troll,10,2,18,0
Frodo,3,5,Sting,4,Orc,5,4,1,1
Legolas,7,10,Sword,5,Orc,5,4,6,1
Frodo,3,5,Sting,4,Troll,10,2,1,1
Aragorn,9,7,Anduril,9,Troll,10,2,3,1
Boromir,8,5,Sting,4,Orc,5,4,14,1
Boromir,8,5,Sword,7,Troll,10,2,20,0
Aragorn,9,7,ElvenBow,5,Uruk-hai,7,6,4,1
Boromir,8,5,Anduril,6,Troll,10,2,4,1
Boromir,8,5,Sword,7,Uruk-hai,7,6,7,0
Frodo,3,5,Anduril,-1,Orc,5,4,2,0
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,5,1
Legolas,7,10,DwarvenAxe,-2,Orc,5,4,3,1
Aragorn,9,7,Sword,7,Troll,10,2,3,0
Frodo,3,5,Sting,4,Troll,10,2,2,1
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,1,1
Frodo,3,5,Sting,4,Orc,5,4,3,0
Gimli,8,5,Anduril,4,Uruk-hai,7,6,3,1
Aragorn,9,7,Sword,7,Troll,10,2,2,1
Legolas,7,10,DwarvenAxe,-2,Orc,5,4,18,0
Boromir,8,5,DwarvenAxe,4,Troll,10,2,17,0
Aragorn,9,7,Anduril,9,Troll,10,2,17,0
Legolas,7,10,Sword,5,Uruk-hai,7,6,7,1
Gimli,8,5,Sword,4,Uruk-hai,7,6,2,1
Legolas,7,10,Sting,5,Orc,5,4,14,1
Gimli,8,5,ElvenBow,-2,Troll,10,2,4,1
Gimli,8,5,Sword,4,Troll,10,2,3,1
Aragorn,9,7,Sting,4,Uruk-hai,7,6,6,0
Boromir,8,5,Anduril,6,Troll,10,2,2,1
Legolas,7,10,Sting,5,Uruk-hai,7,6,17,0
Frodo,3,5,DwarvenAxe,-2,Orc,5,4,1,1
Frodo,3,5,Anduril,-1,Uruk-hai,7,6,1,1
Legolas,7,10,Sword,5,Troll,10,2,16,0
Boromir,8,5,Anduril,6,Uruk-hai,7,6,16,0
Boromir,8,5,Sting,4,Orc,5,4,13,1
Boromir,8,5,Sting,4,Troll,10,2,8,0
Gimli,8,5,Anduril,4,Orc,5,4,12,1
Legolas,7,10,Sword,5,Uruk-hai,7,6,9,0
Gimli,8,5,DwarvenAxe,7,Troll,10,2,19,0
Gimli,8,5,Sword,4,Uruk-hai,7,6,7,1
Legolas,7,10,Sword,5,Uruk-hai,7,6,10,0
Gimli,8,5,Anduril,4,Orc,5,4,12,1
Boromir,8,5,Sting,4,Orc,5,4,19,0
Boromir,8,5,Sting,4,Orc,5,4,4,1
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,10,0
Legolas,7,10,Sword,5,Orc,5,4,19,0
Legolas,7,10,Sting,5,Orc,5,4,15,0
Frodo,3,5,DwarvenAxe,-2,Uruk-hai,7,6,5,0
Legolas,7,10,Anduril,5,Troll,10,2,3,1
Gimli,8,5,DwarvenAxe,7,Troll,10,2,1,1
Gimli,8,5,DwarvenAxe,7,Troll,10,2,19,0
Gimli,8,5,Anduril,4,Uruk-hai,7,6,2,1
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,5,1
Aragorn,9,7,Sword,7,Uruk-hai,7,6,19,0
Legolas,7,10,Sword,5,Uruk-hai,7,6,7,1
Aragorn,9,7,Sting,4,Troll,10,2,11,0
Boromir,8,5,ElvenBow,3,Orc,5,4,12,1
Gimli,8,5,Sword,4,Orc,5,4,1,1
Legolas,7,10,Anduril,5,Troll,10,2,2,1
Legolas,7,10,DwarvenAxe,-2,Orc,5,4,13,1
Legolas,7,10,Anduril,5,Uruk-hai,7,6,6,1
Aragorn,9,7,Sword,7,Orc,5,4,11,0
Aragorn,9,7,DwarvenAxe,4,Uruk-hai,7,6,18,0
Gimli,8,5,Sword,4,Uruk-hai,7,6,5,1
Gimli,8,5,Sword,4,Troll,10,2,7,0
Gimli,8,5,Sword,4,Troll,10,2,4,1
Gimli,8,5,Sword,4,Troll,10,2,7,0
Legolas,7,10,Sword,5,Troll,10,2,3,1
Frodo,3,5,Anduril,-1,Orc,5,4,3,0
Frodo,3,5,ElvenBow,-7,Orc,5,4,2,0
Gimli,8,5,ElvenBow,-2,Uruk-hai,7,6,6,1
Frodo,3,5,DwarvenAxe,-2,Orc,5,4,3,0
Frodo,3,5,Sword,-1,Uruk-hai,7,6,1,1
Frodo,3,5,Sting,4,Uruk-hai,7,6,4,0
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,1,1
Gimli,8,5,Anduril,4,Troll,10,2,3,0
Aragorn,9,7,ElvenBow,5,Troll,10,2,3,1
Legolas,7,10,Anduril,5,Uruk-hai,7,6,17,0
Gimli,8,5,ElvenBow,-2,Uruk-hai,7,6,10,0
Gimli,8,5,Anduril,4,Troll,10,2,18,0
Legolas,7,10,Anduril,5,Troll,10,2,3,1
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,11,0
Aragorn,9,7,Sting,4,Uruk-hai,7,6,7,1
Boromir,8,5,Sting,4,Orc,5,4,15,0
Frodo,3,5,Sting,4,Uruk-hai,7,6,3,0
Boromir,8,5,ElvenBow,3,Troll,10,2,11,0
Gimli,8,5,Sting,5,Uruk-hai,7,6,6,1
Aragorn,9,7,Sting,4,Troll,10,2,6,0
Boromir,8,5,Anduril,6,Orc,5,4,9,1
Gimli,8,5,Sting,5,Orc,5,4,12,1
Gimli,8,5,DwarvenAxe,7,Uruk-hai,7,6,7,0
Frodo,3,5,ElvenBow,-7,Uruk-hai,7,6,3,0
Legolas,7,10,Sword,5,Troll,10,2,12,0
Gimli,8,5,Sword,4,Troll,10,2,4,1
Aragorn,9,7,ElvenBow,5,Troll,10,2,4,0
Gimli,8,5,ElvenBow,-2,Uruk-hai,7,6,9,0
Aragorn,9,7,Sting,4,Uruk-hai,7,6,16,0
Gimli,8,5,Anduril,4,Orc,5,4,18,0
Legolas,7,10,Anduril,5,Troll,10,2,16,0
Boromir,8,5,Sting,4,Troll,10,2,3,1
Legolas,7,10,ElvenBow,8,Uruk-hai,7,6,9,0
Aragorn,9,7,DwarvenAxe,4,Uruk-hai,7,6,2,1
Legolas,7,10,Sword,5,Troll,10,2,1,1
Boromir,8,5,Anduril,6,Orc,5,4,4,1
Boromir,8,5,Sword,7,Troll,10,2,2,1
Frodo,3,5,Sting,4,Troll,10,2,2,0
Boromir,8,5,DwarvenAxe,4,Orc,5,4,10,0
Legolas,7,10,Anduril,5,Orc,5,4,6,1
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,13,1
Legolas,7,10,Sting,5,Orc,5,4,12,1
Aragorn,9,7,Sting,4,Orc,5,4,1,1
Gimli,8,5,Sting,5,Uruk-hai,7,6,13,0
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,18,0
Legolas,7,10,Sword,5,Orc,5,4,11,1
Gimli,8,5,Anduril,4,Orc,5,4,15,0
Boromir,8,5,ElvenBow,3,Troll,10,2,1,1
Aragorn,9,7,Sting,4,Uruk-hai,7,6,3,1
Aragorn,9,7,ElvenBow,5,Troll,10,2,9,0
Frodo,3,5,Anduril,-1,Troll,10,2,2,0
Aragorn,9,7,Anduril,9,Orc,5,4,5,1
Legolas,7,10,Sword,5,Orc,5,4,3,1
Boromir,8,5,DwarvenAxe,4,Troll,10,2,9,0
Gimli,8,5,Sting,5,Troll,10,2,8,0
Boromir,8,5,DwarvenAxe,4,Troll,10,2,9,0
Boromir,8,5,Sword,7,Uruk-hai,7,6,8,0
Legolas,7,10,DwarvenAxe,-2,Troll,10,2,13,0
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,1,1
Boromir,8,5,Anduril,6,Uruk-hai,7,6,6,1
Aragorn,9,7,Anduril,9,Troll,10,2,3,1
Legolas,7,10,Sword,5,Troll,10,2,1,1
Gimli,8,5,ElvenBow,-2,Troll,10,2,4,1
Legolas,7,10,Sting,5,Uruk-hai,7,6,8,1
Frodo,3,5,Sting,4,Uruk-hai,7,6,5,0
Frodo,3,5,Anduril,-1,Orc,5,4,4,0
Legolas,7,10,Anduril,5,Orc,5,4,8,1
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,18,0
Gimli,8,5,ElvenBow,-2,Uruk-hai,7,6,4,1
Boromir,8,5,Sword,7,Orc,5,4,13,0
Boromir,8,5,Sting,4,Troll,10,2,1,1
Legolas,7,10,ElvenBow,8,Uruk-hai,7,6,8,1
Boromir,8,5,DwarvenAxe,4,Troll,10,2,15,0
Boromir,8,5,Sword,7,Troll,10,2,3,1
Gimli,8,5,DwarvenAxe,7,Troll,10,2,17,0
Frodo,3,5,Sting,4,Uruk-hai,7,6,1,1
Frodo,3,5,DwarvenAxe,-2,Troll,10,2,5,0
Boromir,8,5,DwarvenAxe,4,Orc,5,4,12,0
Boromir,8,5,DwarvenAxe,4,Uruk-hai,7,6,19,0
Legolas,7,10,Sting,5,Uruk-hai,7,6,18,0
Aragorn,9,7,Sword,7,Orc,5,4,10,1
Legolas,7,10,Anduril,5,Troll,10,2,19,0
Gimli,8,5,ElvenBow,-2,Uruk-hai,7,6,1,1
Legolas,7,10,Sword,5,Troll,10,2,13,0
Legolas,7,10,Sting,5,Troll,10,2,14,0
Gimli,8,5,ElvenBow,-2,Troll,10,2,4,1
Boromir,8,5,Anduril,6,Orc,5,4,16,0
Boromir,8,5,DwarvenAxe,4,Uruk-hai,7,6,19,0
Frodo,3,5,ElvenBow,-7,Orc,5,4,2,0
Boromir,8,5,DwarvenAxe,4,Troll,10,2,13,0
Frodo,3,5,ElvenBow,-7,Troll,10,2,1,0
Aragorn,9,7,Anduril,9,Uruk-hai,7,6,7,1
Aragorn,9,7,Sting,4,Orc,5,4,6,1
Aragorn,9,7,Sword,7,Orc,5,4,19,0
Boromir,8,5,Anduril,6,Orc,5,4,7,1
Legolas,7,10,Sword,5,Uruk-hai,7,6,2,1
Boromir,8,5,Sword,7,Orc,5,4,13,0
Boromir,8,5,Anduril,6,Troll,10,2,1,1
Boromir,8,5,Sting,4,Uruk-hai,7,6,7,1
Frodo,3,5,ElvenBow,-7,Troll,10,2,4,0
Frodo,3,5,Anduril,-1,Uruk-hai,7,6,3,0
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,4,1
Aragorn,9,7,Sword,7,Uruk-hai,7,6,14,0
Legolas,7,10,Sword,5,Orc,5,4,7,1
Legolas,7,10,Sting,5,Uruk-hai,7,6,3,1
Frodo,3,5,Sword,-1,Uruk-hai,7,6,5,0
Legolas,7,10,ElvenBow,8,Orc,5,4,13,1
Legolas,7,10,Sword,5,Troll,10,2,4,1
Aragorn,9,7,ElvenBow,5,Orc,5,4,15,0
Aragorn,9,7,Sting,4,Orc,5,4,3,1
Frodo,3,5,ElvenBow,-7,Uruk-hai,7,6,3,0
Aragorn,9,7,Anduril,9,Orc,5,4,5,1
Frodo,3,5,Sting,4,Orc,5,4,4,0
Frodo,3,5,ElvenBow,-7,Uruk-hai,7,6,4,0
Boromir,8,5,Anduril,6,Orc,5,4,12,1
Frodo,3,5,Anduril,-1,Troll,10,2,3,0
Aragorn,9,7,ElvenBow,5,Troll,10,2,11,0
Gimli,8,5,Sword,4,Uruk-hai,7,6,14,0
Aragorn,9,7,Sword,7,Uruk-hai,7,6,10,0
Legolas,7,10,ElvenBow,8,Uruk-hai,7,6,3,1
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,9,1
Boromir,8,5,Sting,4,Orc,5,4,3,1
Gimli,8,5,ElvenBow,-2,Troll,10,2,7,0
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,17,0
Frodo,3,5,ElvenBow,-7,Orc,5,4,1,0
Aragorn,9,7,ElvenBow,5,Orc,5,4,19,0
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,8,1
Frodo,3,5,ElvenBow,-7,Uruk-hai,7,6,4,0
Legolas,7,10,Sword,5,Troll,10,2,3,1
Legolas,7,10,ElvenBow,8,Orc,5,4,12,1
Boromir,8,5,DwarvenAxe,4,Orc,5,4,20,0
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,12,0
Gimli,8,5,Anduril,4,Troll,10,2,1,1
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,11,0
Gimli,8,5,DwarvenAxe,7,Troll,10,2,3,1
Legolas,7,10,ElvenBow,8,Troll,10,2,4,1
Frodo,3,5,Sting,4,Uruk-hai,7,6,3,0
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,18,0
Gimli,8,5,DwarvenAxe,7,Orc,5,4,11,1
Gimli,8,5,Sting,5,Orc,5,4,14,1
Frodo,3,5,DwarvenAxe,-2,Troll,10,2,2,0
Gimli,8,5,ElvenBow,-2,Troll,10,2,3,1
Gimli,8,5,DwarvenAxe,7,Uruk-hai,7,6,5,1
Frodo,3,5,DwarvenAxe,-2,Orc,5,4,3,0
Gimli,8,5,Sword,4,Uruk-hai,7,6,14,0
Boromir,8,5,ElvenBow,3,Troll,10,2,3,1
Aragorn,9,7,DwarvenAxe,4,Troll,10,2,10,0
Aragorn,9,7,Anduril,9,Uruk-hai,7,6,1,1
Aragorn,9,7,Anduril,9,Orc,5,4,13,1
Aragorn,9,7,Anduril,9,Uruk-hai,7,6,4,1
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,11,0
Gimli,8,5,Sword,4,Orc,5,4,12,1
Aragorn,9,7,ElvenBow,5,Orc,5,4,15,1
Boromir,8,5,ElvenBow,3,Troll,10,2,3,1
Gimli,8,5,Sword,4,Troll,10,2,15,0
Gimli,8,5,DwarvenAxe,7,Orc,5,4,17,0
Boromir,8,5,Sword,7,Troll,10,2,9,0
Legolas,7,10,Sword,5,Troll,10,2,4,1
Aragorn,9,7,ElvenBow,5,Uruk-hai,7,6,6,1
Gimli,8,5,Anduril,4,Uruk-hai,7,6,1,1
Aragorn,9,7,Anduril,9,Troll,10,2,1,1
Legolas,7,10,ElvenBow,8,Orc,5,4,10,0
Gimli,8,5,Sword,4,Troll,10,2,3,1
Frodo,3,5,Anduril,-1,Troll,10,2,4,0
Frodo,3,5,Sting,4,Troll,10,2,2,0
Gimli,8,5,Sword,4,Orc,5,4,1,1
Aragorn,9,7,Sword,7,Troll,10,2,2,1
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,4,1
Gimli,8,5,Anduril,4,Orc,5,4,13,1
Aragorn,9,7,Sting,4,Uruk-hai,7,6,11,0
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,19,0
Legolas,7,10,DwarvenAxe,-2,Troll,10,2,1,1
Aragorn,9,7,Sword,7,Uruk-hai,7,6,3,1
Aragorn,9,7,Sword,7,Orc,5,4,11,0
Boromir,8,5,Anduril,6,Orc,5,4,15,1
Aragorn,9,7,Sting,4,Uruk-hai,7,6,6,1
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,4,1
Aragorn,9,7,ElvenBow,5,Troll,10,2,1,1
Boromir,8,5,Sword,7,Uruk-hai,7,6,8,0
Boromir,8,5,Sting,4,Orc,5,4,9,1
Legolas,7,10,Sword,5,Orc,5,4,12,1
Gimli,8,5,Anduril,4,Orc,5,4,12,1
Legolas,7,10,Sting,5,Orc,5,4,11,1
Legolas,7,10,DwarvenAxe,-2,Orc,5,4,19,0
Aragorn,9,7,ElvenBow,5,Orc,5,4,7,1
Frodo,3,5,DwarvenAxe,-2,Orc,5,4,5,0
Frodo,3,5,Anduril,-1,Orc,5,4,5,0
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,8,1
Boromir,8,5,DwarvenAxe,4,Uruk-hai,7,6,1,1
Gimli,8,5,Sword,4,Orc,5,4,20,0
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,3,1
Gimli,8,5,DwarvenAxe,7,Troll,10,2,3,1
Legolas,7,10,Anduril,5,Troll,10,2,2,1
Boromir,8,5,Sword,7,Troll,10,2,14,0
Frodo,3,5,Anduril,-1,Uruk-hai,7,6,5,0
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,13,0
Legolas,7,10,ElvenBow,8,Troll,10,2,3,1
Aragorn,9,7,DwarvenAxe,4,Uruk-hai,7,6,6,0
Legolas,7,10,Anduril,5,Uruk-hai,7,6,5,1
Frodo,3,5,Sting,4,Troll,10,2,5,0
Aragorn,9,7,Sting,4,Orc,5,4,13,1
Gimli,8,5,Sword,4,Troll,10,2,6,0
Boromir,8,5,Anduril,6,Orc,5,4,10,1
Gimli,8,5,Sting,5,Orc,5,4,17,0
Aragorn,9,7,DwarvenAxe,4,Uruk-hai,7,6,2,1
Gimli,8,5,ElvenBow,-2,Troll,10,2,3,1
Aragorn,9,7,Sting,4,Troll,10,2,2,1
Gimli,8,5,ElvenBow,-2,Uruk-hai,7,6,4,1
Frodo,3,5,Sword,-1,Troll,10,2,2,0
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,10,1
Boromir,8,5,Anduril,6,Uruk-hai,7,6,1,1
Aragorn,9,7,ElvenBow,5,Uruk-hai,7,6,8,1
Aragorn,9,7,DwarvenAxe,4,Troll,10,2,17,0
Frodo,3,5,DwarvenAxe,-2,Uruk-hai,7,6,2,0
Boromir,8,5,ElvenBow,3,Troll,10,2,7,0
Boromir,8,5,Sword,7,Troll,10,2,4,1
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,2,1
Aragorn,9,7,Sting,4,Troll,10,2,10,0
Frodo,3,5,Sword,-1,Troll,10,2,5,0
Legolas,7,10,Sting,5,Uruk-hai,7,6,6,1
Frodo,3,5,DwarvenAxe,-2,Troll,10,2,4,0
Boromir,8,5,Sword,7,Uruk-hai,7,6,2,1
Legolas,7,10,Sting,5,Orc,5,4,2,1
Gimli,8,5,DwarvenAxe,7,Orc,5,4,14,1
Frodo,3,5,Sword,-1,Orc,5,4,4,0
Gimli,8,5,DwarvenAxe,7,Orc,5,4,10,1
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,4,1
Frodo,3,5,Sting,4,Troll,10,2,1,1
Gimli,8,5,ElvenBow,-2,Troll,10,2,2,1
Aragorn,9,7,Sword,7,Orc,5,4,3,1
Frodo,3,5,Sting,4,Troll,10,2,4,0
Legolas,7,10,DwarvenAxe,-2,Uruk-hai,7,6,15,0
Boromir,8,5,DwarvenAxe,4,Orc,5,4,7,1
Legolas,7,10,DwarvenAxe,-2,Troll,10,2,2,1
Boromir,8,5,Sting,4,Uruk-hai,7,6,18,0
Boromir,8,5,Sting,4,Troll,10,2,4,1
Gimli,8,5,Sting,5,Troll,10,2,4,0
Frodo,3,5,ElvenBow,-7,Uruk-hai,7,6,4,0
Legolas,7,10,ElvenBow,8,Orc,5,4,5,1
Frodo,3,5,ElvenBow,-7,Troll,10,2,4,0
Aragorn,9,7,DwarvenAxe,4,Troll,10,2,4,0
Aragorn,9,7,Sword,7,Uruk-hai,7,6,8,1
Frodo,3,5,Sting,4,Uruk-hai,7,6,1,1
Aragorn,9,7,Anduril,9,Orc,5,4,13,0
Gimli,8,5,Sting,5,Uruk-hai,7,6,9,0
Gimli,8,5,DwarvenAxe,7,Troll,10,2,1,1
Frodo,3,5,Sting,4,Orc,5,4,1,1
Legolas,7,10,Sword,5,Orc,5,4,12,0
Aragorn,9,7,DwarvenAxe,4,Uruk-hai,7,6,1,1
Aragorn,9,7,Anduril,9,Uruk-hai,7,6,2,1
Legolas,7,10,ElvenBow,8,Orc,5,4,15,0
Aragorn,9,7,Sting,4,Orc,5,4,15,1
Frodo,3,5,DwarvenAxe,-2,Orc,5,4,1,0
Legolas,7,10,DwarvenAxe,-2,Orc,5,4,20,0
Legolas,7,10,Anduril,5,Orc,5,4,19,0
Boromir,8,5,Sting,4,Orc,5,4,2,1
Frodo,3,5,ElvenBow,-7,Uruk-hai,7,6,5,0
Gimli,8,5,Sting,5,Orc,5,4,16,0
Frodo,3,5,DwarvenAxe,-2,Orc,5,4,5,0
Aragorn,9,7,Sword,7,Orc,5,4,3,1
Frodo,3,5,ElvenBow,-7,Uruk-hai,7,6,5,0
Aragorn,9,7,Anduril,9,Orc,5,4,12,1
Gimli,8,5,DwarvenAxe,7,Orc,5,4,15,1
Boromir,8,5,Sword,7,Troll,10,2,4,0
Aragorn,9,7,Sword,7,Troll,10,2,7,0
Frodo,3,5,Anduril,-1,Uruk-hai,7,6,1,1
Gimli,8,5,ElvenBow,-2,Troll,10,2,4,1
Aragorn,9,7,Sting,4,Troll,10,2,3,1
Aragorn,9,7,Anduril,9,Orc,5,4,2,1
Aragorn,9,7,DwarvenAxe,4,Troll,10,2,2,1
Aragorn,9,7,ElvenBow,5,Orc,5,4,19,0
Gimli,8,5,DwarvenAxe,7,Orc,5,4,16,0
Boromir,8,5,Sting,4,Troll,10,2,1,1
Frodo,3,5,Sword,-1,Uruk-hai,7,6,5,0
Gimli,8,5,Sting,5,Uruk-hai,7,6,1,1
Boromir,8,5,Sting,4,Uruk-hai,7,6,8,1
Gimli,8,5,Sword,4,Orc,5,4,16,0
Gimli,8,5,Sword,4,Orc,5,4,20,0
Legolas,7,10,Sword,5,Troll,10,2,3,1
Gimli,8,5,Sting,5,Troll,10,2,16,0
Aragorn,9,7,Anduril,9,Uruk-hai,7,6,8,0
Gimli,8,5,Sword,4,Troll,10,2,8,0
Aragorn,9,7,Anduril,9,Orc,5,4,13,0
Legolas,7,10,Sting,5,Uruk-hai,7,6,8,1
Boromir,8,5,Sting,4,Troll,10,2,4,1
Frodo,3,5,Sting,4,Uruk-hai,7,6,2,1
Boromir,8,5,Anduril,6,Uruk-hai,7,6,9,0
Gimli,8,5,Sting,5,Orc,5,4,8,1
Gimli,8,5,ElvenBow,-2,Troll,10,2,4,1
Legolas,7,10,Sting,5,Uruk-hai,7,6,4,1
Boromir,8,5,Sword,7,Troll,10,2,3,1
Frodo,3,5,Sting,4,Uruk-hai,7,6,5,0
Frodo,3,5,ElvenBow,-7,Uruk-hai,7,6,1,0
Legolas,7,10,Anduril,5,Orc,5,4,10,0
Legolas,7,10,DwarvenAxe,-2,Orc,5,4,13,1
Boromir,8,5,Sword,7,Uruk-hai,7,6,5,1
Gimli,8,5,Sword,4,Troll,10,2,4,1
Legolas,7,10,Sword,5,Orc,5,4,15,1
Aragorn,9,7,Anduril,9,Uruk-hai,7,6,5,1
Boromir,8,5,ElvenBow,3,Troll,10,2,4,1
Frodo,3,5,DwarvenAxe,-2,Uruk-hai,7,6,4,0
Boromir,8,5,Sword,7,Orc,5,4,10,1
Aragorn,9,7,Anduril,9,Orc,5,4,6,1
Boromir,8,5,Sword,7,Uruk-hai,7,6,8,0
Gimli,8,5,Sting,5,Troll,10,2,2,1
Boromir,8,5,DwarvenAxe,4,Orc,5,4,10,1
Aragorn,9,7,Sword,7,Orc,5,4,15,1
Boromir,8,5,Sword,7,Orc,5,4,19,0
Boromir,8,5,Sting,4,Troll,10,2,6,0
Boromir,8,5,Sword,7,Uruk-hai,7,6,4,1
Legolas,7,10,DwarvenAxe,-2,Troll,10,2,3,1
Aragorn,9,7,Anduril,9,Troll,10,2,12,0
Gimli,8,5,Sword,4,Troll,10,2,2,1
Aragorn,9,7,ElvenBow,5,Orc,5,4,11,0
Gimli,8,5,Sword,4,Orc,5,4,11,0
Aragorn,9,7,Sword,7,Orc,5,4,12,1
Aragorn,9,7,ElvenBow,5,Orc,5,4,10,0
Legolas,7,10,ElvenBow,8,Troll,10,2,1,1
Legolas,7,10,ElvenBow,8,Orc,5,4,8,1
